name,file,logical,zbits,lat,lon,host_render_ms,logical_pixels,zbuffer_bytes,physical_framebuffer_bytes_2bpp,sphere_vertices,sphere_triangles,ring_vertices,ring_triangles,planet_pixels,ring_pixels,moon_pixels,pixel_scale
resolution-L40-Z8-lat18-lon28,resolution-L40-Z8-lat18-lon28.png,40,8,18,28,58.667,1600,1600,14400,532,952,0,0,516,187,0,6
resolution-L40-Z16-lat18-lon28,resolution-L40-Z16-lat18-lon28.png,40,16,18,28,86.556,1600,3200,14400,532,952,0,0,516,187,0,6
resolution-L60-Z8-lat18-lon28,resolution-L60-Z8-lat18-lon28.png,60,8,18,28,60.153,3600,3600,14400,532,952,0,0,1156,269,0,4
resolution-L60-Z16-lat18-lon28,resolution-L60-Z16-lat18-lon28.png,60,16,18,28,62.709,3600,7200,14400,532,952,0,0,1156,269,0,4
resolution-L80-Z8-lat18-lon28,resolution-L80-Z8-lat18-lon28.png,80,8,18,28,72.825,6400,6400,14400,532,952,0,0,2066,369,0,3
resolution-L80-Z16-lat18-lon28,resolution-L80-Z16-lat18-lon28.png,80,16,18,28,77.474,6400,12800,14400,532,952,0,0,2066,369,0,3
resolution-L120-Z8-lat18-lon28,resolution-L120-Z8-lat18-lon28.png,120,8,18,28,91.152,14400,14400,14400,532,952,0,0,4650,563,0,2
resolution-L120-Z16-lat18-lon28,resolution-L120-Z16-lat18-lon28.png,120,16,18,28,90.946,14400,28800,14400,532,952,0,0,4650,563,0,2
resolution-L240-Z8-lat18-lon28,resolution-L240-Z8-lat18-lon28.png,240,8,18,28,203.739,57600,57600,14400,532,952,0,0,18573,2263,0,1
resolution-L240-Z16-lat18-lon28,resolution-L240-Z16-lat18-lon28.png,240,16,18,28,194.380,57600,115200,14400,532,952,0,0,18573,2263,0,1
mesh-L80-Z16-lat10-lon16,mesh-L80-Z16-lat10-lon16.png,80,16,10,16,74.927,6400,12800,14400,176,288,0,0,2039,369,0,3
mesh-L80-Z16-lat14-lon22,mesh-L80-Z16-lat14-lon22.png,80,16,14,22,63.265,6400,12800,14400,330,572,0,0,2056,369,0,3
mesh-L80-Z16-lat18-lon28,mesh-L80-Z16-lat18-lon28.png,80,16,18,28,65.779,6400,12800,14400,532,952,0,0,2066,369,0,3
mesh-L80-Z16-lat24-lon36,mesh-L80-Z16-lat24-lon36.png,80,16,24,36,79.941,6400,12800,14400,900,1656,0,0,2072,369,0,3
mesh-L120-Z16-lat14-lon22,mesh-L120-Z16-lat14-lon22.png,120,16,14,22,104.482,14400,28800,14400,330,572,0,0,4623,563,0,2
mesh-L120-Z16-lat18-lon28,mesh-L120-Z16-lat18-lon28.png,120,16,18,28,117.752,14400,28800,14400,532,952,0,0,4650,563,0,2
mesh-L120-Z16-lat24-lon36,mesh-L120-Z16-lat24-lon36.png,120,16,24,36,122.432,14400,28800,14400,900,1656,0,0,4664,563,0,2
