name,file,logical,zbits,lat,lon,host_render_ms,logical_pixels,zbuffer_bytes,physical_framebuffer_bytes_2bpp,sphere_vertices,sphere_triangles,ring_vertices,ring_triangles,planet_pixels,ring_pixels,pixel_scale
resolution-L40-Z8-lat18-lon28,resolution-L40-Z8-lat18-lon28.png,40,8,18,28,32.221,1600,1600,14400,532,952,192,192,516,0,6
resolution-L40-Z16-lat18-lon28,resolution-L40-Z16-lat18-lon28.png,40,16,18,28,32.745,1600,3200,14400,532,952,192,192,516,0,6
resolution-L60-Z8-lat18-lon28,resolution-L60-Z8-lat18-lon28.png,60,8,18,28,40.047,3600,3600,14400,532,952,192,192,1156,0,4
resolution-L60-Z16-lat18-lon28,resolution-L60-Z16-lat18-lon28.png,60,16,18,28,36.233,3600,7200,14400,532,952,192,192,1156,0,4
resolution-L80-Z8-lat18-lon28,resolution-L80-Z8-lat18-lon28.png,80,8,18,28,39.420,6400,6400,14400,532,952,192,192,2066,0,3
resolution-L80-Z16-lat18-lon28,resolution-L80-Z16-lat18-lon28.png,80,16,18,28,42.071,6400,12800,14400,532,952,192,192,2066,0,3
resolution-L120-Z8-lat18-lon28,resolution-L120-Z8-lat18-lon28.png,120,8,18,28,59.814,14400,14400,14400,532,952,192,192,4650,0,2
resolution-L120-Z16-lat18-lon28,resolution-L120-Z16-lat18-lon28.png,120,16,18,28,56.204,14400,28800,14400,532,952,192,192,4650,0,2
resolution-L240-Z8-lat18-lon28,resolution-L240-Z8-lat18-lon28.png,240,8,18,28,102.964,57600,57600,14400,532,952,192,192,18573,0,1
resolution-L240-Z16-lat18-lon28,resolution-L240-Z16-lat18-lon28.png,240,16,18,28,91.272,57600,115200,14400,532,952,192,192,18573,0,1
mesh-L80-Z16-lat10-lon16,mesh-L80-Z16-lat10-lon16.png,80,16,10,16,35.457,6400,12800,14400,176,288,192,192,2039,0,3
mesh-L80-Z16-lat14-lon22,mesh-L80-Z16-lat14-lon22.png,80,16,14,22,37.142,6400,12800,14400,330,572,192,192,2056,0,3
mesh-L80-Z16-lat18-lon28,mesh-L80-Z16-lat18-lon28.png,80,16,18,28,38.997,6400,12800,14400,532,952,192,192,2066,0,3
mesh-L80-Z16-lat24-lon36,mesh-L80-Z16-lat24-lon36.png,80,16,24,36,41.536,6400,12800,14400,900,1656,192,192,2072,0,3
mesh-L120-Z16-lat14-lon22,mesh-L120-Z16-lat14-lon22.png,120,16,14,22,46.163,14400,28800,14400,330,572,192,192,4623,0,2
mesh-L120-Z16-lat18-lon28,mesh-L120-Z16-lat18-lon28.png,120,16,18,28,47.746,14400,28800,14400,532,952,192,192,4650,0,2
mesh-L120-Z16-lat24-lon36,mesh-L120-Z16-lat24-lon36.png,120,16,24,36,52.869,14400,28800,14400,900,1656,192,192,4664,0,2
