name,file,triangles_submitted,triangles_drawn,terrain_pixels,visible_vertices,projected_min_x,projected_max_x,projected_min_y,projected_max_y,grid,extent,distance,height,target_y,angle,rotate_x_degrees,cull_backfaces,vertices,triangles,sun_pixels,zbuffer_bytes,colorbuffer_bytes
a0-h1.4-ty-1,a0-h1.4-ty-1.png,1922,345,899,1024,-115,194,0,54,32,14.0,11.0,1.4,-1.0,0.0,0.0,False,1024,1922,63,12800,6400
a0-h1.4-ty0,a0-h1.4-ty0.png,1922,261,555,1024,-111,189,13,74,32,14.0,11.0,1.4,0.0,0.0,0.0,False,1024,1922,60,12800,6400
a0-h1.4-ty1.5,a0-h1.4-ty1.5.png,1922,177,338,1024,-104,182,22,101,32,14.0,11.0,1.4,1.5,0.0,0.0,False,1024,1922,64,12800,6400
a0-h2.2-ty-1,a0-h2.2-ty-1.png,1922,290,619,1024,-113,191,5,63,32,14.0,11.0,2.2,-1.0,0.0,0.0,False,1024,1922,59,12800,6400
a0-h2.2-ty0,a0-h2.2-ty0.png,1922,228,448,1024,-106,184,12,81,32,14.0,11.0,2.2,0.0,0.0,0.0,False,1024,1922,59,12800,6400
a0-h2.2-ty1.5,a0-h2.2-ty1.5.png,1922,142,250,1024,-96,174,20,105,32,14.0,11.0,2.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
a0-h3.2-ty-1,a0-h3.2-ty-1.png,1922,240,470,1024,-106,182,3,72,32,14.0,11.0,3.2,-1.0,0.0,0.0,False,1024,1922,55,12800,6400
a0-h3.2-ty0,a0-h3.2-ty0.png,1922,182,322,1024,-96,174,9,87,32,14.0,11.0,3.2,0.0,0.0,0.0,False,1024,1922,61,12800,6400
a0-h3.2-ty1.5,a0-h3.2-ty1.5.png,1922,101,163,1024,-85,162,18,107,32,14.0,11.0,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
a0.4-h1.4-ty-1,a0.4-h1.4-ty-1.png,1922,368,801,1024,-146,150,-8,57,32,14.0,11.0,1.4,-1.0,0.4,0.0,False,1024,1922,60,12800,6400
a0.4-h1.4-ty0,a0.4-h1.4-ty0.png,1922,311,633,1024,-133,148,12,80,32,14.0,11.0,1.4,0.0,0.4,0.0,False,1024,1922,62,12800,6400
a0.4-h1.4-ty1.5,a0.4-h1.4-ty1.5.png,1922,240,417,1024,-117,146,21,113,32,14.0,11.0,1.4,1.5,0.4,0.0,False,1024,1922,58,12800,6400
a0.4-h2.2-ty-1,a0.4-h2.2-ty-1.png,1922,331,687,1024,-137,150,3,69,32,14.0,11.0,2.2,-1.0,0.4,0.0,False,1024,1922,60,12800,6400
a0.4-h2.2-ty0,a0.4-h2.2-ty0.png,1922,291,532,1024,-120,147,10,90,32,14.0,11.0,2.2,0.0,0.4,0.0,False,1024,1922,61,12800,6400
a0.4-h2.2-ty1.5,a0.4-h2.2-ty1.5.png,1922,212,330,1024,-100,143,20,121,32,14.0,11.0,2.2,1.5,0.4,0.0,False,1024,1922,60,12800,6400
a0.4-h3.2-ty-1,a0.4-h3.2-ty-1.png,1922,290,553,1024,-116,147,2,80,32,14.0,11.0,3.2,-1.0,0.4,0.0,False,1024,1922,53,12800,6400
a0.4-h3.2-ty0,a0.4-h3.2-ty0.png,1922,246,411,1024,-97,143,9,98,32,14.0,11.0,3.2,0.0,0.4,0.0,False,1024,1922,60,12800,6400
a0.4-h3.2-ty1.5,a0.4-h3.2-ty1.5.png,1922,172,232,1024,-77,138,19,131,32,14.0,11.0,3.2,1.5,0.4,0.0,False,1024,1922,59,12800,6400
a0.8-h1.4-ty-1,a0.8-h1.4-ty-1.png,1922,551,3731,1024,-40,118,-35,53,32,14.0,11.0,1.4,-1.0,0.8,0.0,False,1024,1922,59,12800,6400
a0.8-h1.4-ty0,a0.8-h1.4-ty0.png,1922,409,1428,1024,-39,117,9,74,32,14.0,11.0,1.4,0.0,0.8,0.0,False,1024,1922,60,12800,6400
a0.8-h1.4-ty1.5,a0.8-h1.4-ty1.5.png,1922,318,593,1024,-38,116,20,146,32,14.0,11.0,1.4,1.5,0.8,0.0,False,1024,1922,61,12800,6400
a0.8-h2.2-ty-1,a0.8-h2.2-ty-1.png,1922,432,1989,1024,-40,118,0,63,32,14.0,11.0,2.2,-1.0,0.8,0.0,False,1024,1922,59,12800,6400
a0.8-h2.2-ty0,a0.8-h2.2-ty0.png,1922,341,704,1024,-38,116,8,96,32,14.0,11.0,2.2,0.0,0.8,0.0,False,1024,1922,59,12800,6400
a0.8-h2.2-ty1.5,a0.8-h2.2-ty1.5.png,1922,290,491,1024,-36,114,20,165,32,14.0,11.0,2.2,1.5,0.8,0.0,False,1024,1922,60,12800,6400
a0.8-h3.2-ty-1,a0.8-h3.2-ty-1.png,1922,349,720,1024,-39,117,0,86,32,14.0,11.0,3.2,-1.0,0.8,0.0,False,1024,1922,44,12800,6400
a0.8-h3.2-ty0,a0.8-h3.2-ty0.png,1922,306,564,1024,-37,115,8,129,32,14.0,11.0,3.2,0.0,0.8,0.0,False,1024,1922,60,12800,6400
a0.8-h3.2-ty1.5,a0.8-h3.2-ty1.5.png,1922,246,375,1024,-35,113,19,171,32,14.0,11.0,3.2,1.5,0.8,0.0,False,1024,1922,59,12800,6400
a1.2-h1.4-ty-1,a1.2-h1.4-ty-1.png,1922,653,2347,1024,-73,227,-6,46,32,14.0,11.0,1.4,-1.0,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h1.4-ty0,a1.2-h1.4-ty0.png,1922,517,1459,1024,-71,215,5,61,32,14.0,11.0,1.4,0.0,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h1.4-ty1.5,a1.2-h1.4-ty1.5.png,1922,358,790,1024,-68,200,18,101,32,14.0,11.0,1.4,1.5,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h2.2-ty-1,a1.2-h2.2-ty-1.png,1922,547,1635,1024,-73,219,-5,52,32,14.0,11.0,2.2,-1.0,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h2.2-ty0,a1.2-h2.2-ty0.png,1922,428,1038,1024,-70,203,5,68,32,14.0,11.0,2.2,0.0,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h2.2-ty1.5,a1.2-h2.2-ty1.5.png,1922,306,646,1024,-65,183,19,117,32,14.0,11.0,2.2,1.5,1.2,0.0,False,1024,1922,0,12800,6400
a1.2-h3.2-ty-1,a1.2-h3.2-ty-1.png,1922,439,1072,1024,-70,199,-4,60,32,14.0,11.0,3.2,-1.0,1.2,0.0,False,1024,1922,0,12800,6400
