name,file,triangles_submitted,triangles_drawn,terrain_pixels,visible_vertices,projected_min_x,projected_max_x,projected_min_y,projected_max_y,grid,extent,distance,height,target_y,angle,rotate_x_degrees,cull_backfaces,vertices,triangles,sun_pixels,zbuffer_bytes,colorbuffer_bytes
extent-10,extent-10.png,1922,66,102,1024,-22,106,18,78,32,10.0,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
extent-14,extent-14.png,1922,101,163,1024,-85,162,18,107,32,14.0,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
extent-20,extent-20.png,1922,68,168,1024,-332,394,18,216,32,20.0,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
extent-40,extent-40.png,1922,25,177,816,-5602,11663,19,3728,32,40.0,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
distance-7,distance-7.png,1922,99,175,1024,-365,410,6,228,32,14,7.0,3.2,1.5,0.0,0.0,False,1024,1922,50,12800,6400
distance-9,distance-9.png,1922,123,191,1024,-156,228,13,144,32,14,9.0,3.2,1.5,0.0,0.0,False,1024,1922,60,12800,6400
distance-11,distance-11.png,1922,101,163,1024,-85,162,18,107,32,14,11.0,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
distance-14,distance-14.png,1922,93,168,1024,-39,119,23,81,32,14,14.0,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
height-1.4,height-1.4.png,1922,177,338,1024,-104,182,22,101,32,14,11,1.4,1.5,0.0,0.0,False,1024,1922,64,12800,6400
height-2.2,height-2.2.png,1922,142,250,1024,-96,174,20,105,32,14,11,2.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
height-3.2,height-3.2.png,1922,101,163,1024,-85,162,18,107,32,14,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
height-4.5,height-4.5.png,1922,60,91,1024,-69,146,16,106,32,14,11,4.5,1.5,0.0,0.0,False,1024,1922,61,12800,6400
target-y--1,target-y--1.png,1922,240,470,1024,-106,182,3,72,32,14,11,3.2,-1.0,0.0,0.0,False,1024,1922,55,12800,6400
target-y-0,target-y-0.png,1922,182,322,1024,-96,174,9,87,32,14,11,3.2,0.0,0.0,0.0,False,1024,1922,61,12800,6400
target-y-1.5,target-y-1.5.png,1922,101,163,1024,-85,162,18,107,32,14,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
target-y-3,target-y-3.png,1922,50,75,1024,-75,153,27,123,32,14,11,3.2,3.0,0.0,0.0,False,1024,1922,58,12800,6400
angle-0,angle-0.png,1922,101,163,1024,-85,162,18,107,32,14,11,3.2,1.5,0.0,0.0,False,1024,1922,62,12800,6400
angle-0.4,angle-0.4.png,1922,172,232,1024,-77,138,19,131,32,14,11,3.2,1.5,0.4,0.0,False,1024,1922,59,12800,6400
angle-0.8,angle-0.8.png,1922,246,375,1024,-35,113,19,171,32,14,11,3.2,1.5,0.8,0.0,False,1024,1922,59,12800,6400
angle-1.2,angle-1.2.png,1922,265,511,1024,-60,160,20,127,32,14,11,3.2,1.5,1.2,0.0,False,1024,1922,0,12800,6400
