event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
20,2026-07-15T00:56:45.233762347Z,0.000000000,-15.706130257,2256,234,2,0,0.610582448622,0,1
21,2026-07-15T00:56:45.334322960Z,0.100560613,-15.605569644,2256,234,2,0,0.610582448622,0,1
22,2026-07-15T00:56:45.434871783Z,0.201109436,-15.505020821,2256,234,2,0,0.610582448622,0,1
23,2026-07-15T00:56:45.535487818Z,0.301725471,-15.404404786,2255,234,2,0,0.610773784859,0,1
24,2026-07-15T00:56:45.636268756Z,0.402506409,-15.303623848,2255,234,2,0,0.610773784859,0,1
25,2026-07-15T00:56:45.736768535Z,0.503006188,-15.203124069,2255,234,2,0,0.610773784859,0,1
26,2026-07-15T00:56:45.837387338Z,0.603624991,-15.102505266,2255,234,2,0,0.610773784859,0,1
27,2026-07-15T00:56:45.938159088Z,0.704396741,-15.001733516,2255,234,2,0,0.610773784859,0,1
28,2026-07-15T00:56:46.038835840Z,0.805073493,-14.901056764,2255,234,2,0,0.610773784859,0,1
29,2026-07-15T00:56:46.139344505Z,0.905582158,-14.800548099,2255,234,2,0,0.610773784859,0,1
30,2026-07-15T00:56:46.239969864Z,1.006207517,-14.699922740,2255,234,2,0,0.610773784859,0,1
31,2026-07-15T00:56:46.340590231Z,1.106827884,-14.599302373,2255,234,2,0,0.610773784859,0,1
32,2026-07-15T00:56:46.441097332Z,1.207334985,-14.498795272,2256,234,2,0,0.610582448622,0,1
33,2026-07-15T00:56:46.541612663Z,1.307850316,-14.398279941,2256,234,2,0,0.610582448622,0,1
34,2026-07-15T00:56:46.642351643Z,1.408589296,-14.297540961,2256,234,2,0,0.610582448622,0,1
35,2026-07-15T00:56:46.743081876Z,1.509319529,-14.196810728,2256,234,2,0,0.610582448622,0,1
36,2026-07-15T00:56:46.843776061Z,1.610013714,-14.096116543,2256,234,2,0,0.610582448622,0,1
37,2026-07-15T00:56:46.944295539Z,1.710533192,-13.995597065,2256,234,2,0,0.610582448622,0,1
38,2026-07-15T00:56:47.044892901Z,1.811130554,-13.894999703,2257,234,2,0,0.610391197961,0,1
39,2026-07-15T00:56:47.145470910Z,1.911708563,-13.794421694,2257,234,2,0,0.610391197961,0,1
40,2026-07-15T00:56:47.245921185Z,2.012158838,-13.693971419,2257,234,2,0,0.610391197961,0,1
41,2026-07-15T00:56:47.346362800Z,2.112600453,-13.593529804,2257,234,2,0,0.610391197961,0,1
42,2026-07-15T00:56:47.446844551Z,2.213082204,-13.493048053,2257,234,2,0,0.610391197961,0,1
43,2026-07-15T00:56:47.547187943Z,2.313425596,-13.392704661,2257,234,2,0,0.610391197961,0,1
44,2026-07-15T00:56:47.647520355Z,2.413758008,-13.292372249,2257,234,2,0,0.610391197961,0,1
45,2026-07-15T00:56:47.798025003Z,2.564262656,-13.141867601,2257,234,2,0,0.610391197961,0,1
