event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
20,2026-07-15T01:23:05.300317306Z,0.000000000,-15.769733658,2235,232,2,0,0.614618598908,0,1
21,2026-07-15T01:23:05.400747703Z,0.100430397,-15.669303261,2234,232,2,0,0.614811750031,0,1
22,2026-07-15T01:23:05.501375951Z,0.201058645,-15.568675013,2233,232,2,0,0.615004988432,0,1
23,2026-07-15T01:23:05.601983931Z,0.301666625,-15.468067033,2232,232,2,0,0.615198314191,0,1
24,2026-07-15T01:23:05.702569282Z,0.402251976,-15.367481682,2232,232,2,0,0.615198314191,0,1
25,2026-07-15T01:23:05.802965510Z,0.502648204,-15.267085454,2232,232,2,0,0.615198314191,0,1
26,2026-07-15T01:23:05.903627875Z,0.603310569,-15.166423089,2231,232,2,0,0.615391727385,0,1
27,2026-07-15T01:23:06.004218079Z,0.703900773,-15.065832885,2231,232,2,0,0.615391727385,0,1
28,2026-07-15T01:23:06.104759352Z,0.804442046,-14.965291612,2231,232,2,0,0.615391727385,0,1
29,2026-07-15T01:23:06.205361559Z,0.905044253,-14.864689405,2230,232,2,0,0.615585228093,0,1
30,2026-07-15T01:23:06.306110996Z,1.005793690,-14.763939968,2230,232,2,0,0.615585228093,0,1
31,2026-07-15T01:23:06.406721993Z,1.106404687,-14.663328971,2230,232,2,0,0.615585228093,0,1
32,2026-07-15T01:23:06.507328419Z,1.207011113,-14.562722545,2230,232,2,0,0.615585228093,0,1
33,2026-07-15T01:23:06.607881908Z,1.307564602,-14.462169056,2230,232,2,0,0.615585228093,0,1
34,2026-07-15T01:23:06.708599856Z,1.408282550,-14.361451108,2230,232,2,0,0.615585228093,0,1
35,2026-07-15T01:23:06.809218361Z,1.508901055,-14.260832603,2230,232,2,0,0.615585228093,0,1
36,2026-07-15T01:23:06.909769534Z,1.609452228,-14.160281430,2230,232,2,0,0.615585228093,0,1
37,2026-07-15T01:23:07.010204494Z,1.709887188,-14.059846470,2216,230,2,0,0.618303471367,0,1
38,2026-07-15T01:23:07.110776613Z,1.810459307,-13.959274351,2173,226,2,0,0.626762042849,0,1
39,2026-07-15T01:23:07.211373658Z,1.911056352,-13.858677306,2098,217,2,0,0.641927878434,0,1
40,2026-07-15T01:23:07.311720139Z,2.011402833,-13.758330825,2087,216,2,0,0.644198105013,0,1
41,2026-07-15T01:23:07.412136098Z,2.111818792,-13.657914866,1964,203,2,0,0.670439062711,0,1
42,2026-07-15T01:23:07.512505934Z,2.212188628,-13.557545030,2136,222,2,0,0.634176680098,0,1
43,2026-07-15T01:23:07.612890034Z,2.312572728,-13.457160930,1992,206,2,0,0.664322524726,0,1
44,2026-07-15T01:23:07.713188200Z,2.412870894,-13.356862764,1818,187,2,0,0.703829877882,0,1
45,2026-07-15T01:23:07.863614929Z,2.563297623,-13.206436035,1835,189,2,0,0.699805319124,0,1
